type,x,y,z,roll,pitch,yaw
crop_field,55.888424,126.561508,1.1209,0.004,0.001199,0.3807
vineyard,126.6547,122.7025,0.4787,-0.0087,0.0188,-1.2099
obstacle_iso18497,139.991,135.329,0.440998,0.0,0.0,0.2453820038650308
obstacle_iso18497,135.244,118.707,0.29308,0.0,0.0,5.733720351709003
obstacle_iso18497,87.9252,123.465,0.901749,0.0,0.0,4.424948532908476
obstacle_iso18497,71.4272,125.42,1.10976,0.0,0.0,2.5141871355076733
obstacle_iso18497,98.71,157.812,1.1427,0.0,0.0,1.9075471938217892
obstacle_iso18497,66.2472,107.934,1.25389,0.0,0.0,5.120325921378412
obstacle_iso18497,36.2808,125.321,1.30026,0.0,0.0,5.830054286980525
obstacle_iso18497,30.3733,124.982,1.39164,0.0,0.0,0.26701745823939294
obstacle_iso18497,91.6538,173.417,1.32997,0.0,0.0,0.8645745749000855
obstacle_iso18497,92.4129,174.434,1.31206,0.0,0.0,5.586515815512527
obstacle_iso18497,79.1259,177.933,1.62267,0.0,0.0,0.24643897450174956
human,140.091,127.462,0.400524,0.0,0.0,2.475019044525227
human,127.939,124.214,0.494968,0.0,0.0,4.607535060604073
human,109.16,112.129,0.607657,0.0,0.0,0.3723015844095615
human,116.233,125.36,0.669568,0.0,0.0,2.0054867125647444
human,113.687,124.306,0.770294,0.0,0.0,5.505224254403101
human,75.9189,117.786,0.985725,0.0,0.0,1.3783501740807578
human,69.5613,131.574,1.11841,0.0,0.0,4.612788066678878
human,77.0107,142.018,1.2064,0.0,0.0,4.200037327621221
human,88.5171,154.228,1.24986,0.0,0.0,6.159983505668886
human,104.779,166.538,1.22298,0.0,0.0,2.755404299473857
human,93.9578,172.52,1.42603,0.0,0.0,4.220037707346613
human,106.193,167.036,1.25333,0.0,0.0,0.958839127875252
human,68.5352,131.149,1.10503,0.0,0.0,5.491084328795258
human,73.0021,128.042,1.09052,0.0,0.0,1.8397286030095297
human,69.2512,176.369,1.65094,0.0,0.0,1.956450260312929
human,76.1018,160.442,1.40118,0.0,0.0,3.2544569850252043
human,46.4768,128.867,1.32861,0.0,0.0,2.705419525066778
human,43.9671,125.262,1.23137,0.0,0.0,2.8491769869363193
human,44.9007,129.366,1.26376,0.0,0.0,1.4695123452822703
human,34.01,124.607,1.40019,0.0,0.0,2.5197276446014873
human,33.3667,122.98,1.29865,0.0,0.0,1.2029401967159659
human,65.3042,109.531,1.19698,0.0,0.0,3.709867872389782
