type,latitude,longitude,altitude,x,y,z
start,46.34037130088826,3.435488729445324,279.83389382787897,120.546,134.764,0.651331
end,46.34040551248137,3.434403399624495,280.806654350588,36.9861,138.566,1.62504
waypoint,46.34013456264567,3.435112083404371,279.9346080922461,91.5483,108.447,0.753029
waypoint,46.34026755688605,3.4350937697103916,280.0542989274987,90.1381,123.231,0.872471
waypoint,46.34025966676768,3.435169841305964,279.9852533258597,95.9949,122.354,0.803357
waypoint,46.34015919089713,3.43531609196135,279.7841396459611,107.255,111.185,0.602269
waypoint,46.3401516048218,3.4346038699015677,280.22787081676955,52.4206,110.341,1.0467
waypoint,46.3400767238587,3.4345767826008173,280.16802628086333,50.3352,102.017,0.987011
waypoint,46.34013512281178,3.4348457133624164,280.1551242278921,71.0403,108.509,0.973805
waypoint,46.340259129759815,3.4356557599804547,279.54731276138614,133.406,122.295,0.364746
waypoint,46.340315940962554,3.4344687498669373,280.52388661576157,42.0175,128.609,1.34245
waypoint,46.34067995211621,3.43505277562929,280.5814661291587,86.9813,169.074,1.39863
waypoint,46.34032079185057,3.4352974833204737,279.92788068051476,105.822,129.149,0.745695
waypoint,46.34079888554581,3.4350658187551324,280.72469455794743,87.9853,182.295,1.54148
waypoint,46.34052034185043,3.4347782383897,280.57450707306043,65.8449,151.331,1.39237
waypoint,46.340414560339646,3.434751860692151,280.45836793122055,63.8142,139.572,1.27652
waypoint,46.34045220881603,3.434589879596097,280.695148635907,51.3432,143.757,1.51332
waypoint,46.34047287759185,3.435056608265364,280.30967069800926,87.2767,146.055,1.1274
waypoint,46.34025641624857,3.434335065219245,280.5108970476146,31.7251,121.992,1.32965
waypoint,46.34053392322447,3.435048117509551,280.39750102974136,86.6229,152.841,1.21508
waypoint,46.34061228903447,3.4346221233884973,280.78374556905004,53.8255,161.552,1.60147
field:vineyard,46.340254381945385,3.4355726553757306,279.64232737058865,127.0077505607697,121.76708463601554,0.45990110742576273
field:vineyard,46.34020671749949,3.435390393692365,279.7724400505312,112.97543750454116,116.46829548282422,0.5903764001846535
field:vineyard,46.34015622823952,3.4354179061551844,279.659584339595,115.09374086915928,110.85580329891741,0.47758304473922986
field:vineyard,46.34020389264179,3.4356001676984707,279.5294716447826,129.1260539253878,116.15459245210873,0.34710775198033916
field:crops,46.34030253489743,3.43466700209512,280.3006268032888,57.281030144612856,127.11886326496645,1.1191015004309208
field:crops,46.3401754205047,3.4347327593601387,280.2410675023772,62.343853169889044,112.98851288934067,1.0597611534006983
field:crops,46.34019046169588,3.4347870236095526,280.23574401462815,66.52167160372761,114.66057868424001,1.054365654693461
field:crops,46.34031757611945,3.434721266451696,280.29530371562277,61.45884857845142,128.7909290598658,1.1137060017236835
